Number,Cluster,Distance,Angle
0.000000000000000000e+00,2.000000000000000000e+00,8.485281374238569541e+00,4.500000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,2.000000000000000000e+00,1.140175425099137918e+01,-3.787498365109820497e+01
4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+01,5.313010235415597293e+01
7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+01,-0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,3.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,2.000000000000000000e+00,1.456021977856103611e+01,-7.405460409907715302e+01
1.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,2.000000000000000000e+00,8.944271909999159220e+00,2.656505117707799357e+01
1.800000000000000000e+01,2.000000000000000000e+00,1.029563014098700080e+01,-6.094539590092285408e+01
1.900000000000000000e+01,2.000000000000000000e+00,1.019803902718556898e+01,-1.130993247402021495e+01
2.000000000000000000e+01,2.000000000000000000e+00,1.649242250247064234e+01,7.596375653207353196e+01
2.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,2.000000000000000000e+00,1.612451549659709826e+01,-6.025511870305777506e+01
2.300000000000000000e+01,2.000000000000000000e+00,1.720465053408525335e+01,5.446232220802561841e+01
2.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+01,2.000000000000000000e+00,1.077032961426900748e+01,6.819859051364818470e+01
2.800000000000000000e+01,2.000000000000000000e+00,7.211102550927978250e+00,5.630993247402021495e+01
2.900000000000000000e+01,2.000000000000000000e+00,1.414213562373095101e+01,4.500000000000000000e+01
3.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,2.000000000000000000e+00,7.211102550927978250e+00,-5.630993247402021495e+01
3.200000000000000000e+01,2.000000000000000000e+00,1.843908891458577415e+01,-4.939870535499553483e+01
3.300000000000000000e+01,2.000000000000000000e+00,1.280624847486569706e+01,-5.134019174590990531e+01
3.400000000000000000e+01,2.000000000000000000e+00,1.280624847486569706e+01,-5.134019174590990531e+01
3.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000000000e+01,2.000000000000000000e+00,1.649242250247064234e+01,1.403624346792647870e+01
3.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+01,-3.686989764584401996e+01
3.900000000000000000e+01,2.000000000000000000e+00,1.442220510185595650e+01,5.630993247402021495e+01
4.000000000000000000e+01,2.000000000000000000e+00,7.211102550927978250e+00,5.630993247402021495e+01
4.100000000000000000e+01,2.000000000000000000e+00,7.280109889280518054e+00,7.405460409907715302e+01
4.200000000000000000e+01,2.000000000000000000e+00,1.788854381999831844e+01,-6.343494882292202419e+01
4.300000000000000000e+01,2.000000000000000000e+00,8.602325267042626677e+00,3.553767779197438159e+01
4.400000000000000000e+01,2.000000000000000000e+00,9.848857801796103928e+00,-2.396248897457818217e+01
4.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+01,2.000000000000000000e+00,1.979898987322333070e+01,4.500000000000000000e+01
5.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.400000000000000000e+01,2.000000000000000000e+00,1.811077027627483460e+01,-8.365980825409009469e+01
5.500000000000000000e+01,2.000000000000000000e+00,1.612451549659709826e+01,-7.125016348901798580e+00
5.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.700000000000000000e+01,2.000000000000000000e+00,1.029563014098700080e+01,2.905460409907714592e+01
5.800000000000000000e+01,2.000000000000000000e+00,1.077032961426900748e+01,2.180140948635181530e+01
