index r theta
0 3.0 3.90882468967
1 4.0 4.93455351406
2 1.0 1.71274985236
3 6.0 2.24823221325
4 0.0 3.05886473842
5 0.0 4.47803890434
6 6.0 0.617335117853
7 2.0 3.16096475255
8 5.0 4.85581287391
9 3.0 2.29264625284
10 0.0 5.58717256548
11 0.0 2.31738957545
12 3.0 2.47420749016
13 3.0 3.38128257216
14 1.0 1.9907400676
15 7.0 2.73527321328
16 1.0 0.254821798041
17 4.0 4.42500218615
18 5.0 2.36544477722
19 5.0 5.11155301036
20 9.0 0.297989346726
21 0.0 1.15790989732
22 8.0 5.84050937086
23 8.0 3.73613768057
24 3.0 0.272213114171
25 2.0 2.70272070943
26 2.0 3.16023381581
27 6.0 0.508604728549
28 3.0 3.55593506589
29 6.0 3.8795006728
30 2.0 0.427788938664
31 4.0 6.02432914446
32 9.0 5.6317981774
33 7.0 2.35873877288
34 7.0 5.69590184778
35 0.0 0.338498346954
36 9.0 1.32945252764
37 2.0 0.778754954632
38 5.0 5.56854194857
39 7.0 3.69013756063
40 4.0 0.673097643797
41 4.0 0.449520594123
42 9.0 2.61853970544
43 3.0 4.33549971318
44 5.0 1.88898754842
45 3.0 5.95723389278
46 4.0 5.76920865631
47 0.0 1.05970530756
48 4.0 0.941433002828
49 1.0 4.51298930595
50 9.0 3.98181644025
51 2.0 2.53967803648
52 2.0 3.57142294298
53 3.0 2.58809532558
54 9.0 3.01818573258
55 8.0 4.91268383747
56 2.0 1.34620362196
57 4.0 4.20610086039
58 5.0 4.44922003817
59 0.0 5.76390811913
60 4.0 0.924614071258
61 1.0 3.73154286689
62 3.0 5.83062398988
63 9.0 0.985985915723
64 7.0 2.87651542581
65 4.0 5.89031483604
66 1.0 4.39414453375
67 1.0 4.46804153748
68 2.0 4.43924737395
69 7.0 4.66743825469
70 0.0 0.497021038534
71 7.0 1.82919386129
72 5.0 2.63092555895
73 3.0 4.13151966495
74 4.0 3.59467870232
75 1.0 2.03069290619
76 2.0 1.38457700697
77 2.0 1.803666411
78 6.0 6.12197183475
79 1.0 6.24959432187
80 3.0 1.38872436632
81 3.0 3.57068020395
82 9.0 5.65894218337
83 2.0 3.55564573079
84 9.0 0.532649767248
85 4.0 2.31571621302
86 3.0 1.23634537896
87 0.0 6.12293353355
88 8.0 2.07933348718
89 3.0 4.87688731556
90 3.0 2.36750384227
91 5.0 5.74536420613
92 2.0 2.52176524434
93 7.0 4.0972996997
94 7.0 5.98282020852
95 8.0 2.53596619625
96 4.0 3.94006263143
97 8.0 2.62561910511
98 8.0 3.72851334706
99 3.0 2.27943147203
