k x y F u v cell
469560 512.53958571 512.497684598 0.00100802161647 513.0 512.0 524801.0
469560 502.031921983 502.678321242 0.00106067215355 502.0 503.0 515574.0
469560 394.693191886 623.896276116 5.42874606188e-05 395.0 624.0 639371.0
469561 512.811846375 512.003404737 0.00100251743094 513.0 512.0 524801.0
469561 502.386592269 502.105668664 0.00098005135048 502.0 502.0 514550.0
469562 502.442341447 502.271453023 0.00101891225929 502.0 502.0 514550.0
469562 587.805202127 254.579555631 5.92126754933e-07 588.0 255.0 261708.0
469562 512.999622941 512.217715621 0.00101464638973 513.0 512.0 524801.0
469563 149.569323897 877.823138595 5.94383439783e-06 150.0 878.0 899222.0
469563 502.134666562 502.461298347 0.000969475847822 502.0 502.0 514550.0
469563 512.587854028 512.229567647 0.000999057414563 513.0 512.0 524801.0
469563 836.884858012 894.121399999 6.2423769467e-06 837.0 894.0 916293.0
469564 539.638732553 738.510741353 2.64567556216e-05 540.0 739.0 757276.0
469564 502.121118665 502.91355288 0.000985522853512 502.0 503.0 515574.0
469564 512.809168458 512.880730033 0.000983174628226 513.0 513.0 525825.0
469565 502.415761352 502.180963159 0.00101267637001 502.0 502.0 514550.0
469565 634.675185561 138.971915603 7.78804739571e-06 635.0 139.0 142971.0
469565 512.436202407 512.05119288 0.000994047452909 512.0 512.0 524800.0
469565 868.072821021 620.617149949 1.5642182763e-05 868.0 621.0 636772.0
469566 78.400380969 189.602597356 1.57281251048e-05 78.0 190.0 194638.0
469566 512.802509904 512.305345416 0.000997204551305 513.0 512.0 524801.0
469566 954.595264792 179.900641799 4.78966355624e-06 955.0 180.0 185275.0
469566 502.022606969 502.736624122 0.00102528960208 502.0 503.0 515574.0
469567 502.150829434 502.831282258 0.000970641389275 502.0 503.0 515574.0
469567 500.56300509 293.406235576 3.29682110426e-06 501.0 293.0 300533.0
469567 512.235403895 512.433008552 0.000966263393732 512.0 512.0 524800.0
469568 916.721421599 972.70076406 2.12931840257e-05 917.0 973.0 997269.0
